,GDP(SA),수출(NSA),수입(NSA),소비자물가지수(NSA),NSI,전산업생산지수(SA),일평균수출(NSA),일평균수입(NSA),일평균수출(SA),일평균수입(SA),소비자물가지수(SA),"일평균수출(실질, SA)"
201603,421313.1,43002468.0,33344423.0,95.393,103.73,95.3,1791769.5,1389350.9583333333,1796046.16622198,1399930.45231,95.2745400739165,1885127.0914858892
201604,,41081553.0,32388783.0,95.573,100.8,94.9,1825846.8,1439501.4666666666,1848622.95121332,1475378.82171893,95.50036537598619,1935723.4330311378
201605,,39733794.0,33025444.0,95.63,96.88,96.0,1848083.441860465,1536067.1627906978,1786781.73167167,1457720.64268372,95.54123812599491,1870168.0726759615
201606,426505.8,45209071.0,33890231.0,95.611,91.55,96.4,1965611.7826086956,1473488.3043478262,1862322.05414975,1471422.12957541,95.72256250703941,1945541.3701579452
201607,,40881700.0,33371802.0,95.431,104.94,95.8,1739646.8085106383,1420076.680851064,1824163.11792031,1501815.45590876,95.5973052533604,1908174.203326916
201608,,40124791.0,35103611.0,95.677,98.43,96.2,1671866.2916666667,1462650.4583333333,1785934.65079714,1511727.80522672,95.5624894321368,1868865.7666933346
201609,428246.6,40846252.0,33988443.0,96.247,90.38,96.2,1945059.619047619,1618497.2857142857,1790795.92954867,1547850.60410362,96.01310006530349,1865157.909004768
201610,,41983329.0,35050112.0,96.379,91.4,95.8,1865925.7333333334,1557782.7555555555,1793483.67147147,1509924.52608324,96.3018497055382,1862356.4105522358
201611,,45309141.0,37240858.0,96.237,91.49,97.4,1887880.875,1551702.4166666667,1918908.60322705,1591091.09713842,96.608765168323,1986267.6019962626
201612,430814.8,45068880.0,38303957.0,96.342,94.33,97.2,1839546.1224489796,1563426.8163265307,1857578.63533259,1554092.34106773,96.6346810437776,1922269.1225017512
201701,,40257000.0,37645403.0,97.366,98.53,97.9,1872418.6046511629,1750948.9767441861,2000527.97927817,1779917.88454754,97.4042495587904,2053840.5545342343
201702,,43166536.0,36203282.0,97.632,98.12,97.9,1962115.2727272727,1645603.7272727273,1951896.36552229,1605206.95320677,97.3245628843048,2005553.693411004
201703,435027.1,48637832.0,42579492.0,97.565,100.7,99.1,2026576.3333333333,1774145.5,2030619.01184747,1786857.028825,97.4633508022474,2083469.319629267
201704,,50843799.0,37959391.0,97.442,114.09,98.2,2259724.4,1687084.0444444444,2293880.7246056,1717766.27182146,97.3716039952849,2355800.490579038
201705,,44926979.0,39287764.0,97.546,115.67,98.5,2139379.9523809524,1870845.9047619049,2082563.22764079,1785372.05663999,97.472464812114,2136565.676937685
201706,438331.2,51272452.0,40551012.0,97.338,111.37,98.2,2229237.0434782607,1763087.4782608696,2126119.24513132,1766692.09243613,97.45616853275891,2181615.8762866263
201707,,48830440.0,38607157.0,97.499,111.31,98.3,2077891.0638297873,1642857.744680851,2180250.40557944,1737777.39238356,97.71686863342319,2231191.4371289057
201708,,47105569.0,40549772.0,98.058,96.0,98.6,1962732.0416666667,1689573.8333333333,2098369.58613172,1750971.53378227,97.9647690770653,2141963.489426499
201709,444445.6,55115240.0,41695884.0,98.172,101.27,99.9,2345329.361702128,1774292.9361702127,2146232.49530504,1711366.27954096,97.91708995047951,2191887.541174348
201710,,44791239.0,37856562.0,98.077,109.8,99.0,2488402.1666666665,2103142.3333333335,2384499.58973118,2033949.11076756,97.89609671836331,2435745.315353208
201711,,49707197.0,42013512.0,97.347,116.95,99.4,2071133.2083333333,1750563.0,2109561.65044987,1798264.25830054,97.71175432467409,2158964.052001639
201712,443007.6,49040139.0,43529066.0,97.698,109.22,98.7,2179561.7333333334,1934625.1555555556,2187523.62823275,1918448.36915955,97.99928954301309,2232183.1499325503
201801,,49221291.0,45805322.0,98.106,112.79,99.6,2050887.125,1908555.0833333333,2177006.66443739,1926175.60092138,98.1581430416012,2217856.406996957
201802,,44523530.0,41722154.0,98.855,105.06,100.4,2283257.9487179485,2139597.641025641,2266174.37439121,2077659.28034755,98.5494692379823,2299529.7609556234
201803,448561.5,51309932.0,44897838.0,98.751,103.38,99.1,2183401.361702128,1910546.2978723405,2179107.80825486,1912921.45257338,98.65339485486142,2208852.327343379
201804,,49850235.0,43693963.0,98.931,105.14,100.7,2167401.5217391304,1899737.5217391304,2217495.8236676,1923413.58784265,98.8673858115209,2242899.218449041
201805,,50687750.0,44458729.0,98.979,105.63,100.7,2357569.7674418604,2067847.8604651163,2308549.11177191,1987794.57680269,98.9234833860033,2333671.4728937126
201806,451648.7,51079375.0,45000164.0,98.779,101.77,100.5,2375784.88372093,2093030.8837209302,2294833.53336797,2114376.54228877,98.9028627937767,2320290.301558762
201807,,51810255.0,44917044.0,98.59,91.39,101.0,2158760.625,1871543.5,2270406.88145287,1981178.10562196,98.83702541797709,2297121.8243886107
201808,,51180449.0,44360778.0,99.462,96.4,100.9,2132518.7083333335,1848365.75,2274115.33132225,1920400.93706931,99.3832019943676,2288229.0826684497
